steam_id_number,game_title,release_month,release_year,release_price,lowest_estimated_owners_number,highest_estimated_owners_number,average_estimated_owners_number,developer,publisher
1,Disco Elysium - The Final Cut,October,2019,39.99,"1,000,000","2,000,000","1,500,000",ZA/UM,ZA/UM
2,BioShock,August,2007,4.99,"1,000,000","2,000,000","1,500,000","2K Boston, 2K Australia",2K
3,Mass Effect 2 (2010),January,2010,19.99,"1,000,000","2,000,000","1,500,000",BioWare,Electronic Arts
4,Mass Effect 2 Digital Deluxe Edition,January,2010,29.99,"1,000,000","2,000,000","1,500,000",BioWare,Electronic Arts
5,Divinity: Original Sin - Enhanced Edition,October,2015,39.99,"1,000,000","2,000,000","1,500,000",Larian Studios,Larian Studios
6,The Elder Scrolls IV: Oblivion Game of the Year Edition,September,2007,14.99,"1,000,000","2,000,000","1,500,000",Bethesda Game Studios,Bethesda Softworks
7,The Elder Scrolls V: Skyrim,November,2011,19.99,"5,000,000","10,000,000","7,500,000",Bethesda Game Studios,Bethesda Softworks
8,ELDEN RING,February,2022,59.99,"20,000,000","50,000,000","35,000,000",FromSoftware Inc.,"FromSoftware Inc., Bandai Namco Entertainment"
9,God of War,January,2022,49.99,"2,000,000","5,000,000","3,500,000",Santa Monica Studio,PlayStation PC LLC
10,Divinity: Original Sin 2 - Definitive Edition,September,2017,44.99,"5,000,000","10,000,000","7,500,000",Larian Studios,Larian Studios
11,Hades,September,2020,14.99,"5,000,000","10,000,000","7,500,000",Supergiant Games,Supergiant Games
12,The Witcher 3: Wild Hunt,May,2015,39.99,"10,000,000","20,000,000","15,000,000",CD PROJEKT RED,CD PROJEKT RED
13,System Shock 2,August,1999,9.99,"500,000","1,000,000","750,000","Nightdive Studios, Irrational Games, Looking Glass Studios",Nightdive Studios
14,Undertale,September,2015,9.99,"2,000,000","5,000,000","3,500,000",tobyfox,tobyfox
15,The Longest Journey,November,2000,9.99,"200,000","500,000","350,000",Funcom,Funcom
16,Dragon Age: Origins,November,2009,29.99,"500,000","1,000,000","750,000",BioWare,Electronic Arts
17,Fallout 3,October,2008,9.99,"500,000","1,000,000","750,000",Bethesda Game Studios,Bethesda Softworks
18,Dragon Age: Origins - Ultimate Edition,October,2010,29.99,"1,000,000","2,000,000","1,500,000",BioWare,Electronic Arts
19,Deus Ex: Human Revolution - Director's Cut,October,2013,19.99,"2,000,000","5,000,000","3,500,000",Eidos Montreal,Square Enix
20,Fallout 3: Game of the Year Edition,October,2009,19.99,"2,000,000","5,000,000","3,500,000",Bethesda Game Studios,Bethesda Softworks
21,DARK SOULS II,April,2014,24.99,"1,000,000","2,000,000","1,500,000","FromSoftware, Inc","BANDAI NAMCO Entertainment, FromSoftware, Inc"
